url,ID,forum,cliticised_indef_art,genitives,short_words,Left,Key,Right,keep,adj,NP_ext,coord,Determiner,case,Gen,Gen_canonical,lemma,Number,compound,compound_binary,Gender,Proper_name,s_less,abbreviation,pn_or_acro_or_nonnative_in_s,nonnative,PoS,Nominalization,monoref,position,urldomain,tld,ip,sourcecharset,sourcedoctype,bdc,bdv,nbc,nbcprop,nbd,nbdprop,avgbpc,avgbpd,date,last-modified,country,region,city,crx_alltokc,crx_tokc,crx_ttrat,crx_wlen,crx_sentc,crx_slen,crx_mod,crx_vv,crx_vaux,crx_vfin,crx_cn,crx_prep,crx_inf,crx_imp,crx_adv,crx_adj,crx_subjs,crx_subji,crx_conj,crx_wh,crx_dem,crx_poss,crx_neg,crx_answ,crx_zuinf,crx_parta,crx_card,crx_itj,crx_nonwrd,crx_def,crx_indef,crx_neper,crx_neloc,crx_neorg,crx_emo,crx_dq,crx_clitindef,crx_vpast,crx_vpres,crx_vpressubj,crx_wpastsubj,crx_vvpastsubj,crx_pper_1st,crx_pper_2nd,crx_pper_3rd,crx_gen,crx_simpx,crx_psimpx,crx_rsimpx,crx_v2,crx_vlast,crx_vflen,crx_esvf,crx_clausevf,crx_cmpnd,crx_unkn,crx_short,crx_qsvoc,crx_cnloan,crx_vvieren,crx_sapos,crx_pass,crx_perf,crx_plu,Freq
http://www.mydealz.de/28274/20e-zalando-gutschein-fur-registrierung-einer-kostenlosen-de-mail-adresse-bei-der-telekom,2d8ba297782281e28f6e0caf4d23e7614991,0,30.9,22,NA,"14.09. verifizieren und dann auf den Gutschein warten "" Naute September 10 , 2013 um 1:25 pm ich war heute im Telekom-Shop . Aber auf der Homepgae sieht man ncihts mehr von dem Zaladno Gutschein . Bzw . kann man nichts mehr eintragen",wegens,""" 2 "" . Klappt das dennoch ? NauteZitieren genauhinseher Oktober 10 , 2013 um 10:58 pm namIKa : @ Pfennigfuchser : Sowas gibt es natürlich nicht ! .. weil nicht sein kann was nicht sein darf genauhinseherZitieren titti Oktober 11 , 2013 um 5:14",y,0,none,n,none,gen_dat_nom_akk,null,y,2,sg,n,n,x,n,NA,n,NA,n,nom,simpl,n,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.textilvergehen.de/2009/04/09/spieleabend,e95784f1d0e0060a5846daee838d4fc72460,0,0,37,NA,". aber tatsächlich finde ich 's ganz einfach unangemessen , egal , wer was davon abbekommt . this is not a spitzenspiel . @probek auf 1 ) hab ich direkt nach ' m posten gewartet ;) bei 2 ) war ich geografisch etwas sehr großzügig , zugegeben , und",wegens,"3 ) bin ich heilfroh - und ich verspreche , mich auch wurstulimäßig künftig ein bißchen zurückzunehmen . pionierehrenwort ! @nolookpass ich hab in wedernoch gewohnt , dafür aber vorgestern einen echten no look pass gesehen - musste ich",y,0,none,n,none,gen_dat_nom_akk,null,y,3,sg,n,n,x,n,NA,n,NA,n,nom,simpl,n,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.pg-forum.de/konfiguration/2046-ip-adressbereich-pg_hba-conf.html,a4351d7aa95a65eb3791ab56f16713fe157c,1,0,0,NA,"&amp; Gruß ... hostnossl all all 192.1 68.1.165 / 32 md 5 hostnossl all all 192.1 68.1.166 / 32 md 5 hostnossl all all 192.1 68.1.167 / 32 md 5 ... Das SIND Adressbereiche , die Du da angibst . Auch wenn diese nur genau diese eine Adresse markieren ,",wegens,"der / 32. Oder dachtest Du , bei gewolltem weltweitem Zugriff müßtest Du hier nun 4 Milliarden Adressen eintippen ? Andreas -- PostgreSQL Hosting ads Das hatte dir akretschmer gestern schon gesagt und siehe da sobald du das machst ,",y,0,none,n,def,gen,null,y,32,sg,n,n,x,n,NA,n,NA,n,nom,simpl,n,pre,www.pg-forum.de,de,83.220.131.45,WINDOWS-1252,XHTML,l,21.7939,1785,0.33871,20,0.13514,0.63638,0.83924,"Sun, 20 Nov 2011 05:23:28 GMT",unknown,DE,unknown,unknown,947,316,0.484,4.478,29,9.69,37.975,82.278,34.81,98.101,193.038,56.962,44.304,0,63.291,63.291,9.494,0,25.316,9.494,12.658,9.494,3.165,0,0,0,28.481,9.494,0,28.481,15.823,6.329,0,25.316,0,0,0,9.494,85.443,3.165,0,3.165,34.81,18.987,3.165,0,1.138,0,0.034,0.586,0.172,1.353,0,0,147.541,41.139,1.056,0,49.18,38.462,0,0.029,0.059,0,NA
http://www.hifi-forum.de/viewthread-122-2073-33.html,0b83465eed569caab281d1a8a2cd69b33b68,1,157.8,29.5,NA,". Rudi 1977 Ist häufiger hier erstellt : 29. Sep 2009 , 14:20 Hallo , ich beschäftige mich seit neuestem mit dem Gedanken , eine Logitech-Universal-FB zu kaufen . Favorisiert habe ich bis jetzt die Harmony One . Nun bin ich aber irritiert",wegens,der 700 und 900 auf der Logitech-Site . ISt die One ein Auslaufmodel ? Preislich soll ja wohl die 700 an Stelle der One treten ( die 900 ist wegens dem Preis kein Thema für mich ) . Aber was ist jetzt an der 700 besser ? Weil mir erscheint das Display,y,0,none,y,def,gen,null,y,700,sg,n,n,x,n,NA,n,NA,n,nom,simpl,n,pre,www.hifi-forum.de,de,83.169.57.22,WINDOWS-1252,HTML4,c,4.56569,22317,0.67151,107,0.41961,0.32869,0.58344,"Wed, 09 Nov 2011 15:49:15 GMT",unknown,DE,Nordrhein-Westfalen,Höst,6156,4746,0.251,4.407,284,15.43,14.96,89.338,48.251,104.088,130.004,68.9,23.599,2.528,121.365,65.95,14.117,0.632,31.184,3.582,11.589,4.635,14.539,0.843,3.161,0,21.281,2.95,0.632,73.114,13.485,1.264,0.632,14.96,0,25.917,157.895,18.963,78.803,5.689,0.632,3.582,33.923,5.9,14.96,29.586,1.884,0.011,0.053,1.116,0.349,2.767,28.391,78.864,170.178,32.027,6.335,1.624,116.694,68.396,0.325,0.045,0.049,0.009,NA
http://www.hunde-board.de/archive/index.php/thread-1300.html,b56c8dabef7c8b4f2bdd1ea9e458ae15f06c,0,0,0,NA,"nie zu sagen getrauen ... sooooooooooooo ende der fahnenstange ;-)) ab zum brotteig ) ) 09.06.2002 , 12:40 *loool* Dear Blümchen - Danke für den troestenden Knuddler . Tip : Rudi ißt gerne Oberländer Brot . War der Trost jetzt eigentlich",wegens,"des nicht zu realisierenden 500 - Beiträge-Szenarios gedacht , oder wegen der Steuernachzahlung ? Gru - Rudi 09.06.2002 , 17:32 *g* suchs dir grad aus ;-))) du hast im übrigen schlichtweg mein brot noch nicht gegessen ) ) eines tages rief",y,1,none,n,def,gen,s,y,500-Beiträge-Szenario,sg,n+n+n,y,n,n,n,n,NA,y,nom,simpl,n,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.frblog.de/zuerst-den-oberleitungsschaden-beheben,a2ed965532258ba4d032b159edd5038e7384,0,0,73,NA,"mitteldurchschnittspiesser ist lieber menschenseeln allein mit seinem navi auf der autobahn in seiner 2 tonnen stahlkabine unterqwegs , verdreckt die umnwelt , steht drei stunden im stau , ärgert sich bis zur weissglut , weil er",wegens,"eiens lahmen 75ps wagens mal wieder nicht überholen kann , fühlt sich gedemütigt von den ewigen aufblendern und dränlern im rückspiegel und fährt dann auch noch drei stunden vor seinem geschäftstermin mit dem auto los , was er mit der bahn",y,1,none,n,def,gen,s,y,75-PS-Wagen,sg,x+n+n,y,m,n,n,n,NA,n,nom,simpl,n,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.dampfertreff.de/t9343f324-verdampfer-reinigen-ich-bekomm-es-nicht-hin.html,51d90e877e4798dde9100cc5876315b19e23,0,277.7,40,NA,"uriblank danke für den link . dampfzeichen is die beste seite überhaupt . mit dem feuerzeug an den docht ran . das hab ich gar nicht gemacht . blöd . das mach ich dann beim nächsten mal gleich mit . Top # 23 von dampfinator , 15.08.2011 23:07 infos",wegens,"A 2 ... • Selbstwickler Fragen &amp; Antworten Top # 24 von Pumpkin , 15.08.2011 23:21 dafür bin ich wohl noch etwas "" grün "" hinter den dampfer-ohren verstehe da nur bahnhof werde mir das alles mal in aller ruhe zu gemüte führen . danke Top # 25 von",y,0,none,n,none,gen_dat_nom_akk,null,y,A2,sg,n,n,x,n,NA,n,NA,n,nom,simpl,n,pre,www.dampfertreff.de,de,217.13.206.177,WINDOWS-1252,XHTML,e,7.41634,7669,0.29388,29,0.13876,0.64143,0.80089,"Fri, 18 Nov 2011 07:07:39 GMT",unknown,DE,unknown,unknown,4386,1503,0.385,4.388,112,12.17,12.641,109.78,35.928,100.466,135.063,53.892,25.283,8.649,121.756,83.167,8.649,0,27.279,6.653,14.637,6.653,13.307,2.661,0.665,0.665,22.621,2.661,15.303,45.908,17.299,5.988,3.327,1.331,0,9.315,277.778,17.964,66.534,5.988,0,1.331,23.287,5.323,11.976,40,1.571,0.009,0.045,0.911,0.17,2.039,49.02,29.412,142.857,59.215,5.244,1.14,49.261,24.242,0.912,0.016,0.077,0.011,NA
http://fiesta-forum.gamigo.de/archive/index.php/t-69848.html,437b4f2b9dac64e34df8cc8e9d9cc35dee7b,1,360,20.5,NA,"mag ja soweit stimmen , doch hier geht es nicht um Kaninchen sondern um Standardmathematik^^ Halbe Kaninchen gibs vllt nich , aber das Kaninchen könnte krank sein und zählt deshalb nur halb ;) Aus biologischer Sicht habt ihr des abrunden",wegens,"ein krankes kaninchen aus dem Weg geräumt XXD Damit es nich ZU OT wird^^ Tolle Liste ... nur das man damit wenig anfangen kann , weil Spieler nie mit NPC-Equipment antreten werden XD Steht der Scharfschütze bei Kampfkraft wirklich zwischen",y,0,none,n,def,gen,null,n,Abrunden,sg,n,n,n,n,y,n,NA,n,nom,inf,n,post,fiesta-forum.gamigo.de,de,193.24.253.100,WINDOWS-1252,XHTML,e,7.41306,18552,0.94149,34,0.3301,0.04065,0.62997,"Fri, 11 Nov 2011 03:34:21 GMT",unknown,DE,unknown,unknown,3962,2571,0.287,4.269,132,18.205,12.447,87.126,58.343,108.518,130.688,71.179,25.282,5.834,94.905,76.235,18.281,0,28.394,3.112,12.447,6.223,7.779,0.778,1.945,0,45.508,1.167,11.28,61.066,12.447,1.167,1.945,4.278,3.112,5.445,360,20.226,82.069,1.945,4.278,1.167,13.224,5.056,11.669,20.595,2.045,0,0.129,1.326,0.485,3.874,11.429,85.714,116.071,73.901,6.562,2.776,38.69,13.393,0,0.087,0.028,0.014,1027
http://www.vtr1000.de/forum/archive/index.php/t-10441.html,25571503917f8a77c748aecb3ad7e11773d1,1,230.3,25.1,NA,"Noch was vergessen ? achja , ABS . Dafür , das sich meine Bereitschaft für ein Motorrad Geld hinzulegen in den letzten 5 Jahren von ca. 10000 DM auf ca. 10000 € erhöht hatt , gibt 's immer noch keine ABS Motorräder DIE MIR GEFALLEN . Und nur des ABS",wegens,"ein Motorrad zu kaufen auf das ich keine "" Lust "" habe , seh ich auch nicht ein . Schöne Grüsse , Xir Peppi 08 - 08 -2003 , 20:58 Hi , bin grad mal wieder hier und nun muss ich auch mal meinen Senf dazu geben .. Als erstes finde ichs schon sehr",y,0,none,n,def,gen,null,y,ABS,sg,n,n,n,n,y,y,y,n,nom,simpl,n,post,www.vtr1000.de,de,188.40.97.148,WINDOWS-1252,XHTML,c,3.12281,61720,0.91882,164,0.32094,0.07158,0.66464,"Mon, 05 Dec 2011 07:12:30 GMT",unknown,DE,unknown,unknown,13322,9002,0.224,4.417,487,17.14,11.22,91.868,45.434,98.756,134.303,69.984,19.884,6.332,110.198,82.759,14.886,0.333,24.994,7.998,12.886,6.332,13.33,0.111,3.11,0.667,21.662,3.666,7.887,56.654,15.219,7.776,2.888,15.108,4.777,3.555,230.337,17.107,76.761,3.333,1.555,2.444,27.549,4.555,17.552,25.199,2.107,0.004,0.103,1.15,0.462,3.041,10.714,91.071,138.958,38.658,7.431,1.276,52.936,26.602,1.051,0.014,0.069,0.009,55156
http://www.passat35i.de/archive/index.php/t-54300.html,c74b32ab60980187729cb527ae274251780a,1,368.4,18,NA,"sein muss . Also so gegen 11 Uhr in Lychen wäre prima . Zum MIttag grilln ? Oder haben die Herren besondere Vorstellungen ? 24.08.2008 , 22:50 sooo genau willst du das garnet wissen ;) also die tele vom oldschool und schöni hab ich glaub noch",wegens,"lokaler absprache , sind das noch die 0172 xxxxx nummern ? Grillen ist nicht schlecht , aber Kaffee muss es auch geben . Ich werde wohl noch etwas verkatert und mit Restalk im Blut dort aufschlagen . Dem Beastmaster würde ich die",y,1,none,n,none,gen_dat,null,y,Absprache,sg,n,n,f,n,NA,n,NA,n,nom,implicit,n,pre,www.passat35i.de,de,81.169.169.229,WINDOWS-1252,XHTML,f,9.50398,16494,0.85701,77,0.30078,0.07832,0.66675,"Sun, 20 Nov 2011 09:06:43 GMT",unknown,DE,Berlin,Berlin,3794,2483,0.281,4.184,197,11.431,16.11,71.285,44.301,93.838,133.306,83.77,23.762,8.458,111.156,85.783,9.666,0,24.164,8.458,10.471,4.027,4.43,1.611,1.611,1.208,34.636,8.055,25.373,31.414,9.666,23.359,6.847,10.471,16.11,2.416,368.421,25.775,55.175,2.014,2.416,4.027,36.649,3.222,10.874,18.018,1.254,0,0.015,0.838,0.173,2.739,0,48.485,181.269,60.008,12.388,2.109,27.19,28.249,0.791,0,0.024,0.004,182335
